Index,Atom,Type,Bases,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232
1,CD,1,S,-0.000000,-0.000000,-0.000000,-0.000000,-0.000004,-0.000005,-0.000005,0.995367,0.000001,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000001,-0.000000,0.000000,0.001161,0.000188,0.002076,-0.445229,-0.000000,-0.000005,-0.000002,0.000000,-0.000000,-0.000005,-0.000005,-0.000002,-0.000002,0.000133,-0.000024,-0.000004,-0.000369,-0.000118,-0.000616,0.228531,0.000058,0.000007,0.000007,0.000007,0.000000,0.000007,-0.000000,0.000000,0.000002,0.000006,0.000007,0.000003,0.000003,-0.000454,0.000038,0.000008,0.000002,-0.000001,-0.000013,-0.000004,-0.000003,-0.000000,-0.000004,-0.000001,-0.000000,-0.000005,0.000000,-0.000000,-0.000002,0.000002,0.000003,-0.000001,-0.000021,-0.000000,-0.000001,-0.000000,-0.000000,-0.000001,-0.000001,-0.000001,-0.000000,0.000000,-0.000000,-0.000001,0.000000,0.000000,-0.000000,0.000000,0.000001,-0.000000,-0.000000,-0.000000,0.000002,0.000001,0.000000,0.000002,-0.000001,0.000001,0.000003,-0.000000,-0.000000,0.000003,0.000003,-0.000570,-0.000009,-0.000001,-0.000003,-0.000023,0.000215,0.000167,0.000336,-0.108743,-0.000195,-0.000021,-0.000017,-0.000016,0.000004,-0.000002,-0.000022,0.000001,0.000001,0.000000,-0.000014,-0.000014,-0.000014,-0.000000,-0.000004,0.000001,-0.000000,0.000000,0.000000,-0.000005,0.000001,-0.000005,-0.000000,-0.000000,0.000000,0.001186,0.000027,-0.000004,-0.000028,0.000014,0.000226,-0.000071,-0.000068,0.000008,0.000003,0.000000,-0.000000,0.000005,0.000010,-0.000004,0.000000,0.000010,-0.000000,-0.000000,0.000002,-0.000001,0.000000,-0.000003,0.004265,0.001801,0.001395,0.002777,0.008253,-0.013406,0.007948,0.000153,-0.003572,0.002089,0.001193,0.004720,-0.000580,-0.004179,0.005940,-0.002172,-0.001844,0.002369,-0.000904,-0.011860,-0.000877,0.000660,0.008937,0.004742,0.008573,0.000874,-0.000430,-0.002830,-0.001365,-0.001306,-0.000061,0.000284,-0.000456,0.000411,0.000174,0.003918,0.002256,-0.000372,-0.000375,-0.000135,0.000045,-0.000146,0.000170,-0.000119,0.000037,-0.003586,-0.000350,0.004853,0.003490,0.002733,0.002316,-0.001312,-0.015392,-0.031781,0.013882,0.002252,0.004112,0.002801,0.000896,-0.008393,0.092826,-0.074428,0.209974,-0.054737,0.000039,0.000025,0.000008,-0.000011
2,CD,1,S,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.010984,-0.000006,-0.000001,-0.000001,-0.000001,0.000000,-0.000000,-0.000002,-0.000001,-0.000001,-0.000000,-0.000001,-0.000000,-0.000000,-0.000001,0.000000,-0.000000,-0.002650,-0.000430,-0.004743,1.022372,0.000000,0.000013,0.000005,-0.000000,0.000000,0.000012,0.000012,0.000006,0.000006,-0.000304,0.000054,0.000010,0.001052,0.000336,0.001756,-0.655861,-0.000169,-0.000022,-0.000022,-0.000021,-0.000000,-0.000020,0.000000,-0.000001,-0.000007,-0.000019,-0.000020,-0.000009,-0.000008,0.001309,-0.000111,-0.000024,-0.000005,0.000002,0.000033,0.000012,0.000009,0.000000,0.000014,0.000004,0.000000,0.000014,-0.000001,0.000000,0.000006,-0.000008,-0.000009,0.000003,0.000068,0.000000,0.000003,0.000000,0.000000,0.000002,0.000003,0.000002,0.000000,-0.000000,0.000001,0.000003,-0.000000,-0.000001,0.000000,-0.000001,-0.000004,0.000000,-0.000002,0.000000,-0.000007,-0.000002,-0.000001,-0.000008,0.000003,-0.000002,-0.000007,0.000000,0.000000,-0.000007,-0.000006,0.001745,0.000026,0.000003,0.000009,0.000072,-0.000657,-0.000512,-0.001030,0.334848,0.000594,0.000064,0.000052,0.000050,-0.000013,0.000005,0.000077,-0.000003,-0.000002,-0.000000,0.000045,0.000044,0.000045,0.000000,0.000012,-0.000003,0.000000,-0.000001,-0.000000,0.000016,-0.000004,0.000015,0.000000,0.000000,-0.000000,-0.003676,-0.000085,0.000013,0.000085,-0.000044,-0.000691,0.000218,0.000208,-0.000027,-0.000009,-0.000000,0.000000,-0.000015,-0.000030,0.000012,-0.000001,-0.000033,0.000001,0.000000,-0.000008,0.000004,-0.000000,0.000009,-0.013333,-0.005602,-0.004335,-0.008630,-0.025548,0.041485,-0.024593,-0.000473,0.011020,-0.006445,-0.003679,-0.014531,0.001785,0.012875,-0.018280,0.006687,0.005677,-0.007288,0.002784,0.036510,0.002695,-0.002027,-0.027401,-0.014541,-0.026286,-0.002683,0.001321,0.008656,0.004166,0.003977,0.000184,-0.000862,0.001351,-0.001292,-0.000529,-0.012112,-0.006974,0.001136,0.001148,0.000413,-0.000146,0.000477,-0.000542,0.000362,-0.000116,0.010901,0.001084,-0.014759,-0.010607,-0.008231,-0.006938,0.003914,0.048047,0.099495,-0.043467,-0.007053,-0.013460,-0.009163,-0.002932,0.027347,-0.304694,0.244317,-0.689262,0.179682,-0.000137,-0.000089,-0.000028,0.000072
3,CD,1,X,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000006,-0.000001,0.000000,-0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000010,-0.000009,0.000006,0.000186,0.000003,0.000023,0.000009,0.000000,0.000003,-0.000007,0.000023,-0.000008,0.000012,0.550281,-0.523339,-0.660802,-0.000013,0.000011,-0.000009,-0.000620,-0.000022,-0.000002,0.000001,-0.000002,-0.000002,-0.000015,-0.000000,-0.000003,-0.000006,0.000005,-0.000016,0.000005,-0.000008,-0.295307,0.275452,0.349687,0.000000,0.000001,0.000002,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000002,0.000002,0.000004,0.000010,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000005,-0.000003,0.000005,-0.000004,-0.000009,-0.000001,0.000001,0.000002,0.000007,-0.000007,-0.000002,0.000000,0.000002,-0.000009,-0.000001,0.000274,-0.000135,-0.000156,-0.000002,0.000002,0.000026,-0.000016,0.000024,0.000817,0.000016,0.000003,-0.000002,0.000003,0.000008,-0.000006,-0.000056,-0.000002,-0.000003,0.000000,0.000051,-0.000015,0.000043,0.000014,0.000014,0.000002,0.000001,0.000001,0.000008,-0.000012,-0.000005,0.000024,0.000000,0.000000,0.000001,0.090080,-0.050756,0.133293,0.000078,0.000020,-0.000256,0.000225,0.000029,-0.000012,-0.000004,0.000001,-0.000001,-0.000007,0.000005,-0.000005,0.000001,-0.000014,-0.000000,-0.000000,0.000002,0.000003,0.000000,0.000004,-0.001539,-0.000418,-0.000505,-0.000615,-0.000852,0.002084,-0.000594,-0.000040,-0.000093,0.000047,-0.000054,0.000168,-0.000001,-0.000195,0.000101,-0.000135,-0.000127,0.000237,-0.000069,-0.000866,0.000733,0.001270,0.001623,0.001652,0.001927,0.000300,-0.000074,-0.000747,-0.001057,-0.000557,0.000268,0.000246,-0.000048,0.000355,0.000576,0.006037,0.003893,0.001803,0.000480,0.000391,0.003973,0.004496,-0.013063,-0.001037,0.000158,0.006103,0.002324,-0.002832,-0.006164,-0.002976,-0.003958,0.001295,0.000220,-0.001300,0.000305,0.000452,0.000041,-0.000024,0.000052,0.000010,0.000050,0.000265,-0.000355,0.000288,-0.000005,0.000007,-0.000010,-0.000036
4,CD,1,Y,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000006,-0.000001,-0.000001,0.000000,0.000000,-0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000010,0.000010,0.000005,0.000169,-0.000003,0.000023,0.000009,-0.000003,-0.000000,0.000023,-0.000007,0.000013,-0.000008,0.569508,-0.350972,0.752218,-0.000013,-0.000014,-0.000004,-0.000593,-0.000022,-0.000002,-0.000002,0.000001,0.000001,-0.000015,0.000002,0.000000,-0.000006,-0.000016,0.000004,-0.000008,0.000005,-0.303515,0.182353,-0.399984,0.000000,-0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000001,-0.000002,0.000000,-0.000004,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000005,0.000003,0.000005,0.000004,-0.000009,0.000000,-0.000001,-0.000007,-0.000006,0.000006,-0.000001,0.000002,0.000001,-0.000002,-0.000009,0.000274,-0.000095,0.000170,0.000004,0.000005,0.000026,0.000029,0.000001,0.000863,0.000017,0.000003,0.000003,-0.000002,0.000009,-0.000001,-0.000056,-0.000002,-0.000003,-0.000000,0.000052,0.000035,0.000003,-0.000013,0.000015,-0.000002,0.000004,-0.000002,0.000006,0.000028,0.000001,0.000001,0.000000,0.000001,0.000000,0.094872,-0.096495,-0.100727,0.000071,-0.000053,-0.000249,0.000046,0.000226,-0.000012,-0.000004,-0.000001,0.000001,-0.000007,-0.000013,0.000006,-0.000002,0.000006,0.000000,0.000001,-0.000004,-0.000003,0.000000,-0.000001,-0.001550,-0.000419,-0.000228,-0.000795,-0.000902,0.001556,-0.001523,0.000036,-0.000125,0.000017,0.000053,0.000173,-0.000049,-0.000216,0.000332,-0.000019,-0.000065,-0.000059,-0.000065,-0.000904,0.000381,-0.001239,0.001774,0.000836,0.002503,0.000287,-0.000220,-0.000841,-0.000401,-0.001064,-0.000353,0.000484,-0.000557,0.000796,0.000182,0.004764,0.003535,0.001690,0.000735,0.000679,-0.010120,0.005733,0.009522,-0.001207,-0.000031,0.006334,0.001532,-0.006493,-0.000481,-0.002979,-0.002767,0.002891,0.000241,-0.001284,0.000429,-0.000318,0.000044,0.000002,-0.000055,0.000009,0.000050,0.000247,-0.000462,-0.000085,-0.000006,0.000002,0.000012,-0.000036
5,CD,1,Z,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000006,0.000000,-0.000001,-0.000001,-0.000001,0.000000,0.000001,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000004,0.000001,0.000014,0.000132,0.000000,-0.000008,-0.000007,0.000003,-0.000002,0.000023,0.000024,0.000013,0.000013,0.621452,0.785040,-0.104219,0.000005,-0.000004,-0.000019,-0.000552,-0.000023,0.000001,-0.000002,-0.000002,0.000000,0.000004,-0.000002,0.000001,0.000004,-0.000016,-0.000016,-0.000008,-0.000008,-0.325598,-0.419812,0.055700,-0.000001,0.000000,0.000001,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000001,-0.000000,-0.000006,0.000001,0.000010,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000008,0.000000,0.000006,-0.000002,-0.000001,-0.000011,0.000004,-0.000003,-0.000011,-0.000003,-0.000003,-0.000002,-0.000002,0.000269,0.000167,-0.000027,0.000000,0.000004,-0.000011,0.000017,0.000033,0.001029,0.000018,-0.000002,0.000003,0.000003,0.000013,-0.000005,-0.000057,-0.000000,-0.000000,-0.000000,0.000023,0.000035,0.000047,-0.000000,0.000011,-0.000002,-0.000002,-0.000001,-0.000002,0.000030,-0.000005,0.000029,0.000000,0.000001,0.000000,0.106670,0.128664,-0.022965,-0.000044,-0.000021,-0.000345,-0.000000,0.000001,0.000007,-0.000000,0.000000,-0.000000,0.000004,-0.000013,0.000006,0.000001,-0.000014,0.000002,-0.000000,-0.000004,0.000003,-0.000000,0.000004,-0.001556,-0.000606,-0.000295,-0.000578,-0.001663,0.001488,-0.000828,0.000003,0.000080,0.000100,0.000104,-0.000021,-0.000026,-0.000218,0.000450,-0.000155,-0.000095,0.000213,-0.000016,-0.000815,-0.001753,0.000310,0.002401,0.001184,0.002019,0.000341,-0.000167,-0.001476,-0.000680,-0.000753,-0.000019,-0.000066,-0.000779,-0.000435,-0.000121,0.002049,0.002231,0.000722,0.000656,0.000134,0.007026,-0.013472,0.005321,0.002597,0.000056,0.004365,-0.004220,-0.004894,-0.004107,-0.003506,-0.002225,0.001234,0.000197,-0.000958,0.000953,0.000164,-0.000007,0.000068,0.000016,0.000012,0.000036,-0.000059,-0.000516,0.000148,0.000005,-0.000011,-0.000003,-0.000036
6,CD,1,S,-0.000000,-0.000000,-0.000000,-0.000000,-0.000004,-0.000004,-0.000004,-0.000006,0.000091,0.000016,0.000016,0.000016,0.000003,-0.000001,-0.000020,-0.000005,-0.000005,-0.000000,-0.000006,-0.000002,-0.000000,-0.000007,0.000000,-0.000000,-0.000754,-0.000119,-0.001314,0.200084,-0.000000,-0.000028,-0.000010,0.000000,-0.000001,-0.000026,-0.000027,-0.000013,-0.000013,-0.000103,0.000013,0.000002,-0.001436,-0.000464,-0.002425,1.021979,0.000440,0.000056,0.000056,0.000055,0.000001,0.000067,-0.000000,0.000004,0.000021,0.000063,0.000066,0.000028,0.000027,-0.002051,0.000175,0.000039,0.000027,-0.000012,-0.000171,-0.000041,-0.000031,-0.000000,-0.000050,-0.000013,-0.000000,-0.000052,0.000002,-0.000001,-0.000026,0.000034,0.000042,-0.000012,-0.000306,-0.000002,-0.000013,-0.000000,-0.000000,-0.000008,-0.000011,-0.000010,-0.000001,0.000000,-0.000004,-0.000015,0.000001,0.000003,-0.000000,0.000005,0.000026,-0.000000,0.000025,-0.000001,0.000028,0.000007,0.000003,0.000028,-0.000011,0.000007,0.000030,-0.000001,-0.000001,0.000030,0.000028,-0.004686,-0.000002,0.000001,-0.000024,-0.000169,0.001210,0.000958,0.001934,-0.729221,-0.001402,-0.000161,-0.000134,-0.000130,0.000033,-0.000013,-0.000191,0.000012,0.000009,0.000000,-0.000183,-0.000174,-0.000180,-0.000001,-0.000048,0.000012,-0.000001,0.000005,0.000000,-0.000065,0.000017,-0.000062,-0.000000,-0.000000,0.000001,0.008018,0.000235,-0.000051,-0.000323,0.000171,0.002653,-0.000837,-0.000797,0.000106,0.000039,0.000000,-0.000000,0.000059,0.000120,-0.000047,0.000003,0.000128,-0.000004,-0.000001,0.000031,-0.000016,0.000001,-0.000037,0.022462,0.009608,0.007448,0.014846,0.044276,-0.071917,0.042631,0.000819,-0.019080,0.011159,0.006375,0.025272,-0.003093,-0.022265,0.031757,-0.011604,-0.009838,0.012694,-0.004823,-0.062981,-0.004739,0.003500,0.047798,0.025362,0.045862,0.004660,-0.002307,-0.015191,-0.007411,-0.007146,-0.000341,0.001566,-0.002781,0.001873,0.000947,0.019605,0.011380,-0.001457,-0.001642,-0.000556,0.000205,-0.000698,0.000773,-0.000574,0.000190,-0.018708,-0.001064,0.022926,0.016778,0.014715,0.013428,-0.007937,-0.051172,-0.104856,0.045815,0.007425,0.048339,0.032957,0.010553,-0.099515,1.101711,-0.886015,2.499867,-0.651699,0.000572,0.000365,0.000113,0.000037
7,CD,1,X,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000013,0.000001,-0.000001,0.000001,-0.000001,-0.000002,-0.000003,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000018,0.000015,-0.000013,0.000037,-0.000000,-0.000002,-0.000001,-0.000000,-0.000000,0.000001,-0.000002,0.000001,-0.000001,-0.007971,0.007581,0.009572,0.000035,-0.000029,0.000024,0.001308,0.000057,0.000005,-0.000003,0.000005,0.000004,0.000034,0.000000,0.000006,0.000013,-0.000010,0.000035,-0.000011,0.000017,0.631895,-0.589424,-0.748276,-0.000003,-0.000005,-0.000009,-0.000001,-0.000001,0.000000,0.000001,0.000000,0.000000,-0.000002,-0.000000,0.000000,-0.000004,0.000004,-0.000004,-0.000011,-0.000029,-0.000000,-0.000001,0.000000,0.000000,-0.000001,0.000000,0.000001,0.000000,-0.000000,0.000000,-0.000001,-0.000000,0.000000,0.000000,0.000000,-0.000013,0.000008,-0.000014,0.000011,0.000025,0.000002,-0.000002,-0.000006,-0.000020,0.000021,0.000004,-0.000001,-0.000006,0.000024,0.000003,-0.000711,0.000335,0.000382,0.000010,-0.000005,-0.000073,0.000043,-0.000066,-0.002203,-0.000046,-0.000008,0.000004,-0.000009,-0.000022,0.000017,0.000150,0.000006,0.000008,-0.000001,-0.000139,0.000041,-0.000116,-0.000037,-0.000038,-0.000006,-0.000003,-0.000003,-0.000022,0.000032,0.000013,-0.000066,-0.000000,-0.000001,-0.000002,-0.244155,0.137588,-0.361330,-0.000216,-0.000054,0.000706,-0.000619,-0.000080,0.000034,0.000010,-0.000002,0.000002,0.000019,-0.000015,0.000013,-0.000001,0.000039,0.000001,0.000001,-0.000006,-0.000007,-0.000000,-0.000011,0.004210,0.001145,0.001382,0.001683,0.002335,-0.005709,0.001628,0.000109,0.000255,-0.000128,0.000148,-0.000460,0.000004,0.000534,-0.000275,0.000368,0.000349,-0.000651,0.000188,0.002372,-0.002006,-0.003477,-0.004440,-0.004542,-0.005281,-0.000824,0.000203,0.002045,0.002898,0.001524,-0.000737,-0.000675,0.000125,-0.000981,-0.001582,-0.016598,-0.010704,-0.004953,-0.001318,-0.001073,-0.010916,-0.012350,0.035886,0.002849,-0.000435,-0.016778,-0.006386,0.007790,0.016945,0.008186,0.010888,-0.003565,-0.000597,0.003590,-0.000846,-0.001242,-0.000111,0.000068,-0.000142,-0.000038,-0.000141,-0.000723,0.000964,-0.000787,0.000014,-0.000020,0.000026,0.000098
8,CD,1,Y,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000013,0.000001,0.000001,-0.000001,-0.000000,0.000002,-0.000003,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000018,-0.000017,-0.000010,0.000037,0.000000,-0.000002,-0.000001,0.000000,0.000000,-0.000002,0.000001,-0.000001,0.000001,-0.008250,0.005084,-0.010896,0.000035,0.000036,0.000012,0.001249,0.000057,0.000005,0.000005,-0.000003,-0.000003,0.000034,-0.000004,-0.000000,0.000013,0.000035,-0.000009,0.000018,-0.000011,0.649458,-0.390207,0.855903,-0.000001,0.000005,-0.000010,-0.000001,-0.000001,-0.000000,-0.000002,-0.000000,-0.000000,0.000001,-0.000000,-0.000000,-0.000002,0.000004,-0.000000,0.000011,-0.000029,-0.000000,-0.000001,-0.000000,-0.000000,-0.000001,-0.000001,-0.000001,-0.000000,0.000000,-0.000000,0.000001,-0.000000,-0.000000,0.000000,-0.000000,-0.000013,-0.000007,-0.000014,-0.000012,0.000025,-0.000000,0.000002,0.000019,0.000015,-0.000017,0.000002,-0.000007,-0.000002,0.000005,0.000024,-0.000709,0.000237,-0.000416,-0.000014,-0.000010,-0.000072,-0.000079,-0.000004,-0.002326,-0.000047,-0.000008,-0.000009,0.000005,-0.000024,0.000001,0.000152,0.000006,0.000008,0.000001,-0.000141,-0.000095,-0.000009,0.000035,-0.000041,0.000004,-0.000012,0.000004,-0.000016,-0.000077,-0.000004,-0.000003,-0.000001,-0.000002,-0.000000,-0.257145,0.261576,0.273052,-0.000195,0.000146,0.000686,-0.000128,-0.000623,0.000034,0.000010,0.000002,-0.000003,0.000019,0.000036,-0.000017,0.000004,-0.000018,-0.000000,-0.000002,0.000010,0.000009,0.000000,0.000004,0.004240,0.001147,0.000623,0.002176,0.002473,-0.004263,0.004172,-0.000100,0.000342,-0.000045,-0.000146,-0.000472,0.000133,0.000592,-0.000909,0.000052,0.000177,0.000163,0.000177,0.002477,-0.001044,0.003389,-0.004856,-0.002282,-0.006870,-0.000787,0.000603,0.002302,0.001096,0.002915,0.000969,-0.001327,0.001523,-0.002190,-0.000499,-0.013103,-0.009719,-0.004642,-0.002018,-0.001865,0.027802,-0.015746,-0.026162,0.003315,0.000084,-0.017415,-0.004209,0.017849,0.001328,0.008197,0.007615,-0.007951,-0.000656,0.003546,-0.001186,0.000873,-0.000120,-0.000004,0.000151,-0.000035,-0.000142,-0.000673,0.001257,0.000234,0.000015,-0.000005,-0.000032,0.000098
9,CD,1,Z,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000013,-0.000001,0.000001,0.000001,0.000003,-0.000001,-0.000003,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000006,-0.000002,-0.000026,0.000037,-0.000000,0.000001,0.000001,-0.000000,0.000000,-0.000002,-0.000002,-0.000001,-0.000001,-0.009002,-0.011372,0.001510,-0.000013,0.000009,0.000049,0.001160,0.000057,-0.000003,0.000005,0.000005,-0.000000,-0.000010,0.000004,-0.000002,-0.000009,0.000034,0.000036,0.000018,0.000018,0.696711,0.898332,-0.119190,0.000007,-0.000002,-0.000008,0.000001,0.000001,0.000000,-0.000002,-0.000001,0.000000,-0.000002,0.000000,0.000000,-0.000002,0.000001,0.000016,-0.000003,-0.000027,-0.000000,0.000001,0.000000,0.000000,0.000001,-0.000001,-0.000001,0.000000,-0.000000,-0.000000,-0.000001,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000021,-0.000001,-0.000016,0.000006,0.000002,0.000029,-0.000011,0.000008,0.000029,0.000007,0.000007,0.000004,0.000004,-0.000694,-0.000403,0.000067,-0.000001,-0.000014,0.000029,-0.000046,-0.000091,-0.002775,-0.000049,0.000005,-0.000009,-0.000009,-0.000036,0.000012,0.000154,0.000000,0.000000,0.000000,-0.000063,-0.000095,-0.000129,0.000000,-0.000030,0.000004,0.000006,0.000004,0.000006,-0.000082,0.000014,-0.000079,-0.000001,-0.000003,-0.000001,-0.289126,-0.348780,0.062253,0.000121,0.000057,0.000948,0.000001,-0.000004,-0.000019,0.000000,-0.000000,0.000000,-0.000010,0.000036,-0.000018,-0.000002,0.000039,-0.000005,0.000001,0.000011,-0.000008,0.000001,-0.000011,0.004259,0.001660,0.000808,0.001583,0.004558,-0.004080,0.002270,-0.000008,-0.000219,-0.000273,-0.000285,0.000059,0.000071,0.000596,-0.001232,0.000423,0.000260,-0.000583,0.000043,0.002234,0.004799,-0.000849,-0.006590,-0.003243,-0.005526,-0.000934,0.000457,0.004048,0.001864,0.002064,0.000051,0.000183,0.002135,0.001191,0.000333,-0.005640,-0.006134,-0.001984,-0.001802,-0.000368,-0.019303,0.037015,-0.014621,-0.007135,-0.000155,-0.012006,0.011599,0.013459,0.011292,0.009644,0.006126,-0.003398,-0.000534,0.002652,-0.002627,-0.000452,0.000022,-0.000184,-0.000045,-0.000042,-0.000104,0.000165,0.001405,-0.000403,-0.000014,0.000029,0.000007,0.000099
10,CD,1,XX,0.000001,0.000001,0.000001,0.000001,0.000008,0.000009,0.000009,-0.001583,-0.000193,-0.000033,-0.000031,-0.000033,0.000003,0.000012,0.000039,0.000010,0.000010,0.000000,0.000013,0.000003,0.000000,0.000014,-0.000001,-0.000000,0.000973,0.000153,0.001670,-0.189378,0.000000,0.000060,0.000022,-0.000000,0.000001,0.000056,0.000058,0.000027,0.000028,0.000161,-0.000018,-0.000007,-0.001001,-0.000307,-0.001578,0.203278,-0.000509,-0.000070,-0.000063,-0.000070,-0.000002,-0.000111,0.000000,-0.000006,-0.000037,-0.000104,-0.000110,-0.000043,-0.000046,-0.000477,-0.000139,-0.000233,0.000050,0.000127,0.000288,0.000076,0.000060,0.000001,0.000087,0.000018,-0.000000,0.000097,-0.000004,-0.000001,0.000057,-0.000070,-0.000089,0.000024,0.000648,0.000003,0.000029,0.000000,0.000000,0.000017,0.000024,0.000019,0.000001,-0.000000,0.000007,0.000032,-0.000002,-0.000007,0.000000,-0.000010,0.002095,-0.003378,-0.001710,-0.004501,-0.002507,0.000551,0.001051,0.002834,0.001781,-0.002787,-0.000030,0.000084,0.000517,0.000808,-0.000340,-0.025338,-0.730975,-0.930022,0.834945,-0.312323,0.000392,0.000242,0.000476,0.218254,0.000615,0.000125,0.000117,0.000116,-0.000064,0.000009,0.000307,-0.000023,-0.000017,-0.000000,0.000343,0.000336,0.000333,0.000000,0.000103,-0.000021,0.000002,-0.000008,0.000000,0.000127,-0.000033,0.000127,0.000001,0.000001,-0.000003,-0.002186,0.000690,-0.002258,0.000546,-0.000241,-0.004175,0.001479,0.001201,-0.000191,-0.000077,-0.000001,-0.000000,-0.000104,-0.000206,0.000100,-0.000007,-0.000225,0.000011,0.000004,-0.000062,0.000026,-0.000003,0.000064,0.019206,0.010018,0.000534,0.014006,0.052492,-0.043080,0.057080,-0.001781,-0.025411,0.012199,0.000242,0.029576,0.004130,-0.010265,0.021181,-0.029808,-0.018280,0.011897,-0.007801,-0.069317,0.225440,0.325163,0.235325,-0.352606,0.032955,0.287520,0.381885,-0.007950,0.016515,-0.006396,-0.016134,-0.000364,-0.003033,0.009217,-0.005890,0.036031,0.026039,-0.005316,0.003533,-0.005739,-0.000189,-0.004679,0.015847,0.001785,0.000035,-0.020771,0.005856,0.048335,0.014790,0.010456,0.017514,-0.000103,-0.189580,-0.391634,0.172871,0.025660,-0.079708,-0.054504,-0.017307,0.164260,-1.847129,1.490434,-4.205767,1.096427,-0.001190,-0.000730,-0.000263,0.000037
