SCAPS 3.3.11 ELIS-UGent: Version scaps3311.exe, dated 07-10-2023, 11:15:54
Simulation of energy band diagrammes
Calculation started : 	20-11-2023 at 14:00:57

problem definition file :	c:\Program Files (x86)\Scaps3311\def\CdTeSe_25%.def
last saved: 	18-11-2023 at 22:14:31

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Program Files (x86)\Scaps3311\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 14:59:48
Neutral density filter: ND	  0.0000
Transmission of ND filter:	  1.0000e+00
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	  100.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I


*** Overview of recorder settings ***

EB: Fn
EB: Fp
EB: VB
EB: CB


*** Overview of batch settings ***

batch parameter 1:	Interface (L4)>>dielectric permittivity (relative):	from	 1.000e+00	to	 1.200e+01	Linear
batch parameter 2:	Interface (L4)>>thickness[µm]:	from	 5.000e-03	to	 2.000e-02	Linear


*** The recorded data ***

* The mesh: x(um) *

bp 1:	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01
bp 2:	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02
1	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00	  0.00000000e+00
2	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04	  1.00000000e-04
3	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04	  2.00592009e-04
4	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04	  3.02939009e-04
5	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04	  4.08210395e-04
6	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04	  5.17628894e-04
7	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04	  6.32515498e-04
8	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04	  7.54334971e-04
