SCAPS 3.3.11 ELIS-UGent: Version scaps3311.exe, dated 07-10-2023, 11:15:54
Simulation of I-V curves
Single shot simulation #	1
Calculation started : 	18-11-2023 at 21:43:28

problem definition file :	c:\Program Files (x86)\Scaps3311\def\CdTeSe.def
last saved: 	18-11-2023 at 18:11:51

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Program Files (x86)\Scaps3311\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 14:59:48
Neutral density filter: ND	  0.0000
Transmission of ND filter:	  1.0000e+00
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	  100.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)

   0.000000	   -2.52573138e+01	        1.55709826e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.01968742e-02	    6.55129518e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.010000	   -2.52572876e+01	        1.55736009e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.01980663e-02	    6.55379427e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.020000	   -2.52572611e+01	        1.55762473e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.01992935e-02	    6.55631792e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.030000	   -2.52572345e+01	        1.55789072e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02005584e-02	    6.55885137e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.040000	   -2.52572078e+01	        1.55815810e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02018635e-02	    6.56139460e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.050000	   -2.52571809e+01	        1.55842693e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02032117e-02	    6.56394810e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.060000	   -2.52571539e+01	        1.55869730e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02046058e-02	    6.56651241e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.070000	   -2.52571267e+01	        1.55896931e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02060492e-02	    6.56908814e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.080000	   -2.52570993e+01	        1.55924305e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02075456e-02	    6.57167591e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.090000	   -2.52570717e+01	        1.55951863e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02090989e-02	    6.57427640e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.100000	   -2.52570440e+01	        1.55979617e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02107136e-02	    6.57689037e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.110000	   -2.52570160e+01	        1.56007581e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02123945e-02	    6.57951860e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.120000	   -2.52569878e+01	        1.56035767e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02141472e-02	    6.58216197e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.130000	   -2.52569594e+01	        1.56064192e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02159778e-02	    6.58482140e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.140000	   -2.52569307e+01	        1.56092872e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02178930e-02	    6.58749792e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.150000	   -2.52569018e+01	        1.56121827e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02199005e-02	    6.59019263e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.160000	   -2.52568725e+01	        1.56151076e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02220089e-02	    6.59290674e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.170000	   -2.52568430e+01	        1.56180643e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02242278e-02	    6.59564156e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.180000	   -2.52568130e+01	        1.56210554e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02265684e-02	    6.59839854e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.190000	   -2.52567828e+01	        1.56240835e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02290430e-02	    6.60117924e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.200000	   -2.52567521e+01	        1.56271520e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02316658e-02	    6.60398541e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.210000	   -2.52567210e+01	        1.56302643e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02344532e-02	    6.60681896e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.220000	   -2.52566894e+01	        1.56334244e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02374239e-02	    6.60968197e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.230000	   -2.52566572e+01	        1.56366367e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02405993e-02	    6.61257679e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.240000	   -2.52566245e+01	        1.56399064e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02440044e-02	    6.61550598e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.250000	   -2.52565912e+01	        1.56432392e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02476682e-02	    6.61847241e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.260000	   -2.52565572e+01	        1.56466417e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02516242e-02	    6.62147927e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.270000	   -2.52565224e+01	        1.56501213e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.02559121e-02	    6.62453011e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
